essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,picom,X compositor
essential,man,Manual
essential,man-pages,Manual pages
essential,tldr,Tldr pages
essential,perl-file-mimeinfo,File opener and mimetype detector
essential,xdg-user-dirs,XDG user directories manager
essential,reflector,Utility for updating pacman's mirrorlist
fonts,ttf-noto-nerd,Noto Nerd fonts
network,openssh,Remote login tool for SSH protocol
network,networkmanager, Network manager
pipewire,pipewire,Multimedia framework
pipewire,pipewire-alsa,Pipewire ALSA support
pipewire,qpwgraph,Pipewire Graph GUI
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot utility
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,neofetch,Show system info
tools,htop-vim,Interactive process viewer
tools,pulsemixer,Audio mixer
cpp,clang,C/C++ compiler
cpp,doxygen,Documentation system for C/C++/PHP
php,php,PHP interpreter
php,composer,PHP package manager
docker,docker,Container manager
docker,docker-compose,Alternative CLI frontend for docker
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Tmux sessions configurator
notifier,dunst,Notification system
git,git,Version control system
git,diff-so-fancy,Human-readable git diff
i3,i3-wm,Window manager
i3,i3lock,i3 monitor lock
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
i3,polybar,i3 status bar
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for Zsh
neovim,neovim,Text editor
alacritty,alacritty,Terminal emulator
firefox,firefox,Browser Firefox
lf,lf,File manager
lf,ctpv-git,File previewer
sioyek,sioyek-git,PDF viewer
qbittorrent,qbittorrent,BitTorrent client
onlyoffice,onlyoffice-bin,Document editor
music,mpd,Music player daemon
music,ncmpcpp,mpd client
video,mpv,Media player
